NOMBRE_DEPTO;PROVINCIA;CODIGO_MUNICIPIO;NOMBRE_MPIO;Nombre
AMAZONAS;AMAZONAS;91263;EL ENCANTO;El Encanto
;;91405;LA CHORRERA;La Chorrera
;;91407;LA PEDRERA;La Pedrera
;;91430;LA VICTORIA;La Victoria
;;91001;LETICIA;Leticia
;;91460;MIRITI - PARANÁ;Miriti - Paraná
;;91530;PUERTO ALEGRIA;Puerto Alegria
;;91536;PUERTO ARICA;Puerto Arica
;;91540;PUERTO NARIÑO;Puerto Nariño
;;91669;PUERTO SANTANDER;Puerto Santander
;;91798;TARAPACÁ;Tarapacá
ANTIOQUIA;BAJO CAUCA;05120;CÁCERES;Cáceres
;;05154;CAUCASIA;Caucasia
;;05250;EL BAGRE;El Bagre
;;05495;NECHÍ;Nechí
;;05790;TARAZÁ;Tarazá
;;05895;ZARAGOZA;Zaragoza
;MAGDALENA MEDIO;05142;CARACOLÍ;Caracolí
;;05425;MACEO;Maceo
;;05579;PUERTO BERRiO;Puerto Berrio
;;05585;PUERTO NARE;Puerto Nare
;;05591;PUERTO TRIUNFO;Puerto Triunfo
;;05893;YONDÓ;Yondó
;NORDESTE;05031;AMALFI;Amalfi
;;05040;ANORÍ;Anorí
;;05190;CISNEROS;Cisneros
;;05604;REMEDIOS;Remedios
;;05670;SAN ROQUE;San Roque
;;05690;SANTO DOMINGO;Santo Domingo
;;05736;SEGOVIA;Segovia
;;05858;VEGACHÍ;Vegachí
;;05885;YALÍ;Yalí
;;05890;YOLOMBÓ;Yolombó
;NORTE;05038;ANGOSTURA;Angostura
;;05086;BELMIRA;Belmira
;;05107;BRICEÑO;Briceño
;;05134;CAMPAMENTO;Campamento
;;05150;CAROLINA;Carolina
;;05237;DON MATiAS;Don Matias
;;05264;ENTRERRIOS;Entrerrios
;;05310;GÓMEZ PLATA;Gómez Plata
;;05315;GUADALUPE;Guadalupe
;;05361;ITUANGO;Ituango
;;05647;SAN ANDRÉS;San Andrés
;;05658;SAN JOSÉ DE LA MONTAÑA;San José De La Montaña
;;05664;SAN PEDRO;San Pedro
;;05686;SANTA ROSA de osos;Santa Rosa De Osos
;;05819;TOLEDO;Toledo
;;05854;VALDIVIA;Valdivia
;;05887;YARUMAL;Yarumal
;OCCIDENTE;05004;ABRIAQUÍ;Abriaquí
;;05044;ANZA;Anza
;;05059;ARMENIA;Armenia
;;05113;BURITICÁ;Buriticá
;;05138;CAÑASGORDAS;Cañasgordas
;;05234;DABEIBA;Dabeiba
;;05240;EBÉJICO;Ebéjico
;;05284;FRONTINO;Frontino
;;05306;GIRALDO;Giraldo
;;05347;HELICONIA;Heliconia
;;05411;LIBORINA;Liborina
;;05501;OLAYA;Olaya
;;05543;PEQUE;Peque
;;05628;SABANALARGA;Sabanalarga
;;05656;SAN JERÓNIMO;San Jerónimo
;;05042;SANTAFÉ DE ANTIOQUIA;Santafé De Antioquia
;;05761;SOPETRaN;Sopetran
;;05842;URAMITA;Uramita
;ORIENTE;05002;ABEJORRAL;Abejorral
;;05021;ALEJANDRÍA;Alejandría
;;05055;ARGELIA;Argelia
;;05148;CARMEN DE VIBORAL;Carmen De Viboral
;;05197;COCORNÁ;Cocorná
;;05206;CONCEPCIÓN;Concepción
;;05313;GRANADA;Granada
;;05318;GUARNE;Guarne
;;05321;GUATAPE;Guatape
;;05376;LA CEJA;La Ceja
;;05400;LA UNIÓN;La Unión
;;05440;MARINILLA;Marinilla
;;05483;NARIÑO;Nariño
;;05541;PEÑOL;Peñol
;;05607;RETIRO;Retiro
;;05615;RIONEGRO;Rionegro
;;05649;SAN CARLOS;San Carlos
;;05652;SAN FRANCISCO;San Francisco
;;05660;SAN LUIS;San Luis
;;05667;SAN RAFAEL;San Rafael
;;05674;SAN VICENTE;San Vicente
;;05697;SANTUARIO;Santuario
;;05756;SONSON;Sonson
;SUROESTE;05030;AMAGa;Amaga
;;05034;ANDES;Andes
;;05036;ANGELOPOLIS;Angelopolis
;;05091;BETANIA;Betania
;;05093;BETULIA;Betulia
;;05125;CAICEDO;Caicedo
;;05145;CARAMANTA;Caramanta
;;05101;CIUDAD BOLÍVAR;Ciudad Bolívar
;;05209;CONCORDIA;Concordia
;;05282;FREDONIA;Fredonia
;;05353;HISPANIA;Hispania
;;05364;JARDÍN;Jardín
;;05368;JERICÓ;Jericó
;;05390;LA PINTADA;La Pintada
;;05467;MONTEBELLO;Montebello
;;05576;PUEBLORRICO;Pueblorrico
;;05642;SALGAR;Salgar
;;05679;SANTA BaRBARA;Santa Barbara
;;05789;TÁMESIS;Támesis
;;05792;TARSO;Tarso
;;05809;TITIRIBÍ;Titiribí
;;05847;URRAO;Urrao
;;05856;VALPARAISO;Valparaiso
;;05861;VENECIA;Venecia
;URABA;05045;APARTADÓ;Apartadó
;;05051;ARBOLETES;Arboletes
;;05147;CAREPA;Carepa
;;05172;CHIGORODÓ;Chigorodó
;;05475;MURINDÓ;Murindó
;;05480;MUTATA;Mutata
;;05490;NECOCLÍ;Necoclí
;;05659;SAN JUAN DE URABA;San Juan De Uraba
;;05665;SAN PEDRO DE URABA;San Pedro De Uraba
;;05837;TURBO;Turbo
;;05873;VIGÍA DEL FUERTE;Vigía Del Fuerte
;VALLE DEL ABURRA;05079;BARBOSA;Barbosa
;;05088;BELLO;Bello
;;05129;CALDAS;Caldas
;;05212;COPACABANA;Copacabana
;;05266;ENVIGADO;Envigado
;;05308;GIRARDOTA;Girardota
;;05360;ITAGUI;Itagui
;;05380;LA ESTRELLA;La Estrella
;;05001;MEDELLÍN;Medellín
;;05631;SABANETA;Sabaneta
ARAUCA;ARAUCA;81001;ARAUCA;Arauca
;;81065;ARAUQUITA;Arauquita
;;81220;CRAVO NORTE;Cravo Norte
;;81300;FORTUL;Fortul
;;81591;PUERTO RONDÓN;Puerto Rondón
;;81736;SARAVENA;Saravena
;;81794;TAME;Tame
ARCHIPIELAGO DE SAN ANDRES;ARCHIPIELAGO DE SAN ANDRES;88564;PROVIDENCIA Y SANTA CATALINA;Providencia Y Santa Catalina
ARCHIPIELAGO DE SAN ANDRES;;88001;SAN ANDReS;San Andres
ATLÁNTICO;NORTE;08001;BARRANQUILLA;Barranquilla
;;08296;GALAPA;Galapa
;;08433;MALAMBO;Malambo
;;08573;PUERTO COLOMBIA;Puerto Colombia
;;08758;SOLEDAD;Soledad
;SUR;08137;CAMPO DE LA CRUZ;Campo De La Cruz
;;08141;CANDELARIA;Candelaria
;;08421;LURUACO;Luruaco
;;08436;MANATi;Manati
;;08606;REPELON;Repelon
;;08675;SANTA LUCiA;Santa Lucia
;;08770;SUAN;Suan
;CENTRO ORIENTE;08078;BARANOA;Baranoa
;;08520;PALMAR DE VARELA;Palmar De Varela
;;08558;POLONUEVO;Polonuevo
;;08560;PONEDERA;Ponedera
;;08634;Sabanagrande;Sabanagrande
;;08638;SABANALARGA;Sabanalarga
;;08685;Santo Tomas;Santo Tomas
;OCCIDENTAL;08372;JUAN DE ACOSTA;Juan De Acosta
;;08549;PIOJÓ;Piojó
;;08832;TUBARA;Tubara
;;08849;USIACURi;Usiacuri
BOGOTÁ D.C.;BOGOTA;11001;BOGOTA D.C.;Bogota D.C.
BOLIVAR;DEPRESION MOMPOSINA;13188;CICUCO;Cicuco
;;13300;HATILLO DE LOBA;Hatillo De Loba
;;13440;MARGARITA;Margarita
;;13468;MOMPÓS;Mompós
;;13650;SAN FERNANDO;San Fernando
;;13780;TALAIGUA NUEVO;Talaigua Nuevo
;DIQUE BOLIVARENSE;13052;ARJONA;Arjona
;;13062;ARROYOHONDO;Arroyohondo
;;13140;CALAMAR;Calamar
;;13001;CARTAGENA;Cartagena
;;13222;CLEMENCIA;Clemencia
;;13433;MAHATES;Mahates
;;13620;SAN CRISTOBAL;San Cristobal
;;13647;SAN ESTANISLAO;San Estanislao
;;13673;SANTA CATALINA;Santa Catalina
;;13683;SANTA ROSA DE LIMA;Santa Rosa De Lima
;;13760;SOPLAVIENTO;Soplaviento
;;13836;TURBACO;Turbaco
;;13838;TURBANA;Turbana
;;13873;VILLANUEVA;Villanueva
;LOBA;13030;ALTOS DEL ROSARIO;Altos Del Rosario
;;13074;BARRANCO DE LOBA;Barranco De Loba
;;13268;EL PEÑON;El Peñon
;;13580;REGIDOR;Regidor
;;13600;RÍO VIEJO;Río Viejo
;;13667;SAN MARTIN DE LOBA;San Martin De Loba
;MAGDALENA MEDIO BOLIVARENSE;13042;ARENAL;Arenal
;;13160;CANTAGALLO;Cantagallo
;;13473;MORALES;Morales
;;13670;SAN PABLO;San Pablo
;;13688;SANTA ROSA DEL SUR;Santa Rosa Del Sur
;;13744;SIMITÍ;Simití
;MOJANA BOLIVARENSE;13006;ACHÍ;Achí
;;13430;MAGANGUÉ;Magangué
;;13458;MONTECRISTO;Montecristo
;;13549;PINILLOS;Pinillos
;;13655;SAN JACINTO DEL CAUCA;San Jacinto Del Cauca
;;13810;TIQUISIO;Tiquisio
;MONTES DE MARIA;13244;CARMEN DE BOLÍVAR;Carmen De Bolívar
;;13212;CÓRDOBA;Córdoba
;;13248;EL GUAMO;El Guamo
;;13442;MARÍA LA BAJA;María La Baja
;;13654;SAN JACINTO;San Jacinto
;;13657;SAN JUAN NEPOMUCENO;San Juan Nepomuceno
;;13894;ZAMBRANO;Zambrano
BOYACÁ;CENTRO;15232;CHÍQUIZA;Chíquiza
;;15187;CHIVATÁ;Chivatá
;;15204;CÓMBITA;Cómbita
;;15224;CUCAITA;Cucaita
;;15476;MOTAVITA;Motavita
;;15500;OICATÁ;Oicatá
;;15646;SAMACÁ;Samacá
;;15740;SIACHOQUE;Siachoque
;;15762;SORA;Sora
;;15764;SORACÁ;Soracá
;;15763;SOTAQUIRÁ;Sotaquirá
;;15814;TOCA;Toca
;;15001;TUNJA;Tunja
;;15837;TUTA;Tuta
;;15861;VENTAQUEMADA;Ventaquemada
;GUTIERREZ;15180;CHISCAS;Chiscas
;;15223;CUBARÁ;Cubará
;;15244;EL COCUY;El Cocuy
;;15248;EL ESPINO;El Espino
;;15317;GUACAMAYAS;Guacamayas
;;15332;GÜICÁN;Güicán
;;15522;PANQUEBA;Panqueba
;LA LIBERTAD;15377;LABRANZAGRANDE;Labranzagrande
;;15518;PAJARITO;Pajarito
;;15533;PAYA;Paya
;;15550;PISBA;Pisba
;LENGUPA;15090;BERBEO;Berbeo
;;15135;CAMPOHERMOSO;Campohermoso
;;15455;MIRAFLORES;Miraflores
;;15514;PÁEZ;Páez
;;15660;SAN EDUARDO;San Eduardo
;;15897;ZETAQUIRA;Zetaquira
;MARQUEZ;15104;BOYACÁ;Boyacá
;;15189;CIÉNEGA;Ciénega
;;15367;JENESANO;Jenesano
;;15494;NUEVO COLÓN;Nuevo Colón
;;15599;RAMIRIQUÍ;Ramiriquí
;;15621;RONDÓN;Rondón
;;15804;TIBANÁ;Tibaná
;;15835;TURMEQUÉ;Turmequé
;;15842;UMBITA;Umbita
;;15879;VIRACACHÁ;Viracachá
;NEIRA;15172;CHINAVITA;Chinavita
;;15299;GARAGOA;Garagoa
;;15425;MACANAL;Macanal
;;15511;PACHAVITA;Pachavita
;;15667;SAN LUIS DE GACENO;San Luis De Gaceno
;;15690;SANTA MARÍA;Santa María
;NORTE;15097;BOAVITA;Boavita
;;15218;COVARACHÍA;Covarachía
;;15403;LA UVITA;La Uvita
;;15673;SAN MATEO;San Mateo
;;15720;SATIVANORTE;Sativanorte
;;15723;SATIVASUR;Sativasur
;;15753;SOATÁ;Soatá
;;15774;SUSACÓN;Susacón
;;15810;TIPACOQUE;Tipacoque
;OCCIDENTE;15106;BRICEÑO;Briceño
;;15109;BUENAVISTA;Buenavista
;;15131;CALDAS;Caldas
;;15176;CHIQUINQUIRÁ;Chiquinquirá
;;15212;COPER;Coper
;;15401;LA VICTORIA;La Victoria
;;15442;MARIPÍ;Maripí
;;15480;MUZO;Muzo
;;15507;OTANCHE;Otanche
;;15531;PAUNA;Pauna
;;15572;PUERTO BOYACa;Puerto Boyaca
;;15580;QUÍPAMA;Quípama
;;15632;SABOYÁ;Saboyá
;;15676;SAN MIGUEL DE SEMA;San Miguel De Sema
;;15681;SAN PABLO BORBUR;San Pablo Borbur
;;15832;TUNUNGUÁ;Tununguá
;ORIENTE;15022;ALMEIDA;Almeida
;;15236;CHIVOR;Chivor
;;15322;GUATEQUE;Guateque
;;15325;GUAYATÁ;Guayatá
;;15380;LA CAPILLA;La Capilla
;;15761;SOMONDOCO;Somondoco
;;15778;SUTATENZA;Sutatenza
;;15798;TENZA;Tenza
;RICAURTE;15051;ARCABUCO;Arcabuco
;;15185;CHITARAQUE;Chitaraque
;;15293;GACHANTIVÁ;Gachantivá
;;15469;MONIQUIRÁ;Moniquirá
;;15600;RÁQUIRA;Ráquira
;;15638;SÁCHICA;Sáchica
;;15664;SAN JOSÉ DE PARE;San José De Pare
;;15696;SANTA SOFÍA;Santa Sofía
;;15686;SANTANA;Santana
;;15776;SUTAMARCHÁN;Sutamarchán
;;15808;TINJACÁ;Tinjacá
;;15816;TOGÜÍ;Togüí
;;15407;VILLA DE LEYVA;Villa De Leyva
;SUGAMUXI;15047;AQUITANIA;Aquitania
;;15226;CUÍTIVA;Cuítiva
;;15272;FIRAVITOBA;Firavitoba
;;15296;GAMEZA;Gameza
;;15362;IZA;Iza
;;15464;MONGUA;Mongua
;;15466;MONGUÍ;Monguí
;;15491;NOBSA;Nobsa
;;15542;PESCA;Pesca
;;15759;SOGAMOSO;Sogamoso
;;15806;TIBASOSA;Tibasosa
;;15820;TÓPAGA;Tópaga
;;15822;TOTA;Tota
;TUNDAMA;15087;BELÉN;Belén
;;15114;BUSBANZÁ;Busbanzá
;;15162;CERINZA;Cerinza
;;15215;CORRALES;Corrales
;;15238;DUITAMA;Duitama
;;15276;FLORESTA;Floresta
;;15516;PAIPA;Paipa
;;15693;SAN ROSA VITERBO;San Rosa Viterbo
;;15839;TUTAZÁ;Tutazá
;VALDERRAMA;15092;BETÉITIVA;Betéitiva
;;15183;CHITA;Chita
;;15368;JERICÓ;Jericó
;;15537;PAZ DE RÍO;Paz De Río
;;15757;SOCHA;Socha
;;15755;SOCOTÁ;Socotá
;;15790;TASCO;Tasco
CALDAS;ALTO OCCIDENTE;17272;FILADELFIA;Filadelfia
;;17388;LA MERCED;La Merced
;;17442;MARMATO;Marmato
;;17614;RIOSUCIO;Riosucio
;;17777;SUPÍA;Supía
;ALTO ORIENTE;17433;MANZANARES;Manzanares
;;17444;MARQUETALIA;Marquetalia
;;17446;MARULANDA;Marulanda
;;17541;PENSILVANIA;Pensilvania
;BAJO OCCIDENTE;17042;ANSERMA;Anserma
;;17088;BELALCÁZAR;Belalcázar
;;17616;RISARALDA;Risaralda
;;17665;SAN JOSÉ;San José
;;17877;VITERBO;Viterbo
;CENTRO;17174;CHINCHINa;Chinchina
;;17001;MANIZALES;Manizales
;;17486;NEIRA;Neira
;;17524;PALESTINA;Palestina
;;17873;VILLAMARiA;Villamaria
;NORTE;17013;AGUADAS;Aguadas
;;17050;ARANZAZU;Aranzazu
;;17513;PÁCORA;Pácora
;;17653;SALAMINA;Salamina
;ORIENTE;17380;LA DORADA;La Dorada
;;17495;NORCASIA;Norcasia
;;17662;SAMANÁ;Samaná
;;17867;VICTORIA;Victoria
CAQUETA;CAQUETA;18029;ALBANIA;Albania
;;18094;BELÉN DE LOS ANDAQUIES;Belén De Los Andaquies
;;18150;CARTAGENA DEL CHAIRÁ;Cartagena Del Chairá
;;18205;CURRILLO;Currillo
;;18247;EL DONCELLO;El Doncello
;;18256;EL PAUJIL;El Paujil
;;18001;FLORENCIA;Florencia
;;18410;LA MONTAÑITA;La Montañita
;;18460;MILaN;Milan
;;18479;MORELIA;Morelia
;;18592;PUERTO RICO;Puerto Rico
;;18610;SAN JOSE DEL FRAGUA;San Jose Del Fragua
;;18753;SAN VICENTE DEL CAGUÁN;San Vicente Del Caguán
;;18756;SOLANO;Solano
;;18785;SOLITA;Solita
;;18860;VALPARAISO;Valparaiso
CASANARE;CASANARE;85010;AGUAZUL;Aguazul
;;85015;CHAMEZA;Chameza
;;85125;HATO COROZAL;Hato Corozal
;;85136;LA SALINA;La Salina
;;85139;MANÍ;Maní
;;85162;MONTERREY;Monterrey
;;85225;NUNCHÍA;Nunchía
;;85230;OROCUÉ;Orocué
;;85250;PAZ DE ARIPORO;Paz De Ariporo
;;85263;PORE;Pore
;;85279;RECETOR;Recetor
;;85300;SABANALARGA;Sabanalarga
;;85315;SÁCAMA;Sácama
;;85325;SAN LUIS DE PALENQUE;San Luis De Palenque
;;85400;TÁMARA;Támara
;;85410;TAURAMENA;Tauramena
;;85430;TRINIDAD;Trinidad
;;85440;VILLANUEVA;Villanueva
;;85001;YOPAL;Yopal
CAUCA;CENTRO;19130;CAJIBÍO;Cajibío
;;19256;EL TAMBO;El Tambo
;;19392;LA SIERRA;La Sierra
;;19473;MORALES;Morales
;;19548;PIENDAMO;Piendamo
;;19001;POPAYÁN;Popayán
;;19622;ROSAS;Rosas
;;19760;SOTARA;Sotara
;;19807;TIMBIO;Timbio
;NORTE;19110;BUENOS AIRES;Buenos Aires
;;19142;CALOTO;Caloto
;;19212;CORINTO;Corinto
;;19455;MIRANDA;Miranda
;;19513;PADILLA;Padilla
;;19573;PUERTO TEJADA;Puerto Tejada
;;19698;SANTANDER DE QUILICHAO;Santander De Quilichao
;;19780;SUAREZ;Suarez
;;19845;VILLA RICA;Villa Rica
;OCCIDENTE;19318;GUAPI;Guapi
;;19418;LOPEZ;Lopez
;;19809;TIMBIQUI;Timbiqui
;ORIENTE;19137;CALDONO;Caldono
;;19355;INZÁ;Inzá
;;19364;JAMBALO;Jambalo
;;19517;PAEZ;Paez
;;19585;PURACE;Purace
;;19743;Silvia;Silvia
;;19821;TORIBIO;Toribio
;;19824;TOTORO;Totoro
;SUR ;19022;ALMAGUER;Almaguer
;;19050;ARGELIA;Argelia
;;19075;BALBOA;Balboa
;;19100;BOLÍVAR;Bolívar
;;19290;FLORENCIA;Florencia
;;19397;LA VEGA;La Vega
;;19450;MERCADERES;Mercaderes
;;19532;PATIA;Patia
;;19533;PIAMONTE;Piamonte
;;19693;SAN SEBASTIAN;San Sebastian
;;19701;SANTA ROSA;Santa Rosa
;;19785;SUCRE;Sucre
CESAR;CENTRAL;20045;BECERRIL;Becerril
;;20175;CHIMICHAGUA;Chimichagua
;;20178;CHIRIGUANA;Chiriguana
;;20228;CURUMANÍ;Curumaní
;;20400;LA JAGUA DE IBIRICO;La Jagua De Ibirico
;;20517;PAILITAS;Pailitas
;;20787;TAMALAMEQUE;Tamalameque
;NOROCCIDENTAL;20032;ASTREA;Astrea
;;20060;BOSCONIA;Bosconia
;;20238;EL COPEY;El Copey
;;20250;EL PASO;El Paso
;NORTE;20013;AGUSTÍN CODAZZI;Agustín Codazzi
;;20621;LA PAZ;La Paz
;;20443;MANAURE;Manaure
;;20570;PUEBLO BELLO;Pueblo Bello
;;20750;SAN DIEGO;San Diego
;;20001;VALLEDUPAR;Valledupar
;SUR ;20011;AGUACHICA;Aguachica
;;20295;GAMARRA;Gamarra
;;20310;GONZÁLEZ;González
;;20383;LA GLORIA;La Gloria
;;20550;PELAYA;Pelaya
;;20614;RÍO DE ORO;Río De Oro
;;20710;SAN ALBERTO;San Alberto
;;20770;SAN MARTÍN;San Martín
CHOCO;ATRATO;27050;ATRATO;Atrato
;;27073;BAGADÓ;Bagadó
;;27099;BOJAYA;Bojaya
;;27245;EL CARMEN DE ATRATO;El Carmen De Atrato
;;27413;LLORÓ;Lloró
;;27425;MEDIO ATRATO;Medio Atrato
;;27001;QUIBDÓ;Quibdó
;;27600;RIO QUITO;Rio Quito
CHOCO;DARIEN;27006;ACANDÍ;Acandí
;;27086;BELÉN DE BAJIRA;Belén De Bajira
;;27150;CARMÉN DEL DARIÉN;Carmén Del Darién
;;27615;RIOSUCIO;Riosucio
;;27800;UNGUÍA;Unguía
CHOCO;PACIFICO NORTE;27075;BAHÍA SOLANO;Bahía Solano
;;27372;JURADÓ;Juradó
;;27495;NUQUÍ;Nuquí
CHOCO;PACIFICO SUR;27025;ALTO BAUDÓ;Alto Baudó
;;27077;BAJO BAUDÓ;Bajo Baudó
;;27250;El Litoral del San Juan;El Litoral Del San Juan
;;27430;MEDIO BAUDÓ;Medio Baudó
CHOCO;SAN JUAN;27135;CANTON DE SAN PABLO;Canton De San Pablo
;;27160;CERTEGUI;Certegui
;;27205;CONDOTO;Condoto
;;27361;ITSMINA;Itsmina
;;27450;MEDIO SAN JUAN;Medio San Juan
;;27491;NÓVITA;Nóvita
;;27580;RÍO FRÍO;Río Frío
;;27660;SAN JOSÉ DEL PALMAR;San José Del Palmar
;;27745;SIPÍ;Sipí
;;27787;TADÓ;Tadó
;;27810;UNION PANAMERICANA;Union Panamericana
CORDOBA;ALTO SINU;23807;TIERRALTA;Tierralta
;;23855;VALENCIA;Valencia
;BAJO SINU;23168;CHIMÁ;Chimá
;;23300;COTORRA;Cotorra
;;23417;LORICA;Lorica
;;23464;MOMIL;Momil
;;23586;PURÍSIMA;Purísima
;CENTRO;23001;MONTERÍA;Montería
;COSTANERA;23090;CANALETE;Canalete
;;23419;LOS CÓRDOBAS;Los Córdobas
;;23500;MOÑITOS;Moñitos
;;23574;PUERTO ESCONDIDO;Puerto Escondido
;;23672;SAN ANTERO;San Antero
;;23675;SAN BERNARDO DEL VIENTO;San Bernardo Del Viento
;SABANAS;23182;CHINÚ;Chinú
;;23660;SAHAGÚN;Sahagún
;;23670;SAN ANDRÉS SOTAVENTO;San Andrés Sotavento
;SAN JORGE;23068;AYAPEL;Ayapel
;;23079;BUENAVISTA;Buenavista
;;23350;LA APARTADA;La Apartada
;;23466;MONTELÍBANO;Montelíbano
;;23555;PLANETA RICA;Planeta Rica
;;23570;PUEBLO NUEVO;Pueblo Nuevo
;;23580;PUERTO LIBERTADOR;Puerto Libertador
;SINU MEDIO;23162;CERETÉ;Cereté
;;23189;CIÉNAGA DE ORO;Ciénaga De Oro
;;23678;SAN CARLOS;San Carlos
;;23686;SAN PELAYO;San Pelayo
CUNDINAMARCA;ALMEIDAS;25183;CHOCONTÁ;Chocontá
;;25426;MACHETA;Macheta
;;25436;MANTA;Manta
;;25736;SESQUILÉ;Sesquilé
;;25772;SUESCA;Suesca
;;25807;TIBIRITA;Tibirita
;;25873;VILLAPINZÓN;Villapinzón
;ALTO MAGDALENA;25001;AGUA DE DIOS;Agua De Dios
;;25307;GIRARDOT;Girardot
;;25324;GUATAQUÍ;Guataquí
;;25368;JERUSALÉN;Jerusalén
;;25483;NARIÑO;Nariño
;;25488;NILO;Nilo
;;25612;RICAURTE;Ricaurte
;;25815;TOCAIMA;Tocaima
;BAJO MAGDALENA;25148;CAPARRAPÍ;Caparrapí
;;25320;GUADUAS;Guaduas
;;25572;PUERTO SALGAR;Puerto Salgar
;GUALIVA;25019;ALBÁN;Albán
;;25398;LA PEÑA;La Peña
;;25402;LA VEGA;La Vega
;;25489;NIMAIMA;Nimaima
;;25491;NOCAIMA;Nocaima
;;25592;QUEBRADANEGRA;Quebradanegra
;;25658;SAN FRANCISCO;San Francisco
;;25718;SASAIMA;Sasaima
;;25777;SUPATÁ;Supatá
